**Position** , **Superior(s)**, **Hours**, **Rate**,**pay**, **Benefits**
Founder & CEO, Shareholders, 100      , Equity              , n/a, `carte blanche`
LR/ Councelor, Founder & CEO, 24     ,  $180           , weekly, `+ babysitting expenses`  
Developer Coord., Founder & CEO, 60       , Equity         , cliff/vest , `carte blanche/6% equity`
Head of Security, Founder & CEO, 80       , $250k       , mission success, `carte blanche/5%+ equity` 
Guard (1/2)  , Head of Security, 40   ,$600              , monthly , `coffee & snack`
Guard (1/2)  , Head of Security, 40   ,$600              , monthly , `coffee & snack`
Villa Manager, Founder & CEO/ HoS, 40     ,$1200        , monthly  , `offsite property & vehicle use`
Groundkeeper , Villa Manager, 30      ,$400              , monthly  , `property & lunch`
Cleaner 1    , Villa Manager, 20      ,$250              , monthly  , `onsite lunches` 
Fumigator    , Villa Manager, 8       ,$150              , Quarterly, `onsite lunches`
